timestamp,cpu_percent,memory_percent,memory_used_mb,update_count,total_data_mb
1759073646.9116168,0.0,10.0,6399.43359375,0,0.0
1759073647.4125152,9.8,10.0,6429.78125,28,102.5390625
1759073647.9135,13.5,10.0,6428.54296875,52,190.4296875
1759073648.4145389,14.1,10.0,6438.9609375,76,278.3203125
1759073648.915554,13.5,10.0,6419.12890625,100,366.2109375
1759073649.4165018,15.0,10.0,6443.18359375,125,457.763671875
1759073649.917438,11.2,10.0,6440.8046875,147,538.330078125
1759073650.4186273,13.9,10.0,6435.0625,174,637.20703125
1759073650.91967,12.6,10.0,6422.83203125,196,717.7734375
1759073651.4207027,13.8,10.0,6424.78125,220,805.6640625
1759073651.9218512,12.5,10.0,6436.22265625,244,893.5546875
1759073652.422934,15.8,10.0,6418.30859375,268,981.4453125
1759073652.923935,15.3,10.0,6427.421875,293,1072.998046875
1759073653.4249623,13.0,10.0,6446.48828125,315,1153.564453125
1759073653.9257758,14.3,10.0,6425.70703125,342,1252.44140625
1759073654.426806,15.3,10.0,6431.484375,364,1333.0078125
1759073654.9279654,15.9,10.0,6438.6796875,388,1420.8984375
1759073655.4291055,14.1,10.0,6425.0078125,412,1508.7890625
1759073655.9298134,15.9,10.0,6431.84765625,436,1596.6796875
1759073656.430695,10.3,10.0,6426.2109375,461,1688.232421875
1759073656.9317484,12.9,10.0,6432.58203125,483,1768.798828125
1759073657.4327095,14.9,10.0,6433.58984375,510,1867.67578125
1759073657.933639,14.2,10.0,6419.66015625,532,1948.2421875
1759073658.4346635,13.2,10.0,6415.6796875,556,2036.1328125
1759073658.935613,13.1,10.0,6428.12890625,580,2124.0234375
1759073659.4367683,10.9,10.0,6413.47265625,604,2211.9140625
1759073659.9376762,14.2,10.0,6423.4140625,629,2303.466796875
1759073660.4386387,15.4,10.0,6442.40234375,651,2384.033203125
1759073660.939651,16.6,10.0,6421.37109375,678,2482.91015625
1759073661.4406211,14.1,10.0,6415.44140625,700,2563.4765625
1759073661.941543,13.1,10.0,6424.25390625,724,2651.3671875
1759073662.4425845,14.7,10.0,6436.828125,748,2739.2578125
1759073662.9435897,14.2,10.0,6424.70703125,772,2827.1484375
1759073663.4445672,13.2,10.0,6435.41015625,797,2918.701171875
1759073663.9455075,12.4,10.0,6428.3984375,819,2999.267578125
1759073664.4464047,13.1,10.0,6425.54296875,846,3098.14453125
1759073664.9473393,13.4,10.0,6429.234375,868,3178.7109375
1759073665.4484532,14.8,10.0,6423.48046875,892,3266.6015625
1759073665.949314,13.5,10.0,6418.22265625,916,3354.4921875
1759073666.450482,16.4,10.0,6431.04296875,940,3442.3828125
1759073666.9514043,15.5,10.0,6422.46875,965,3533.935546875
1759073667.4526386,13.9,10.0,6436.02734375,987,3614.501953125
1759073667.9533215,15.1,10.0,6428.1171875,1014,3713.37890625
1759073668.45439,17.5,10.0,6420.875,1036,3793.9453125
1759073668.955391,16.9,10.0,6421.5390625,1060,3881.8359375
1759073669.456338,13.6,10.0,6429.8046875,1084,3969.7265625
1759073669.9568086,13.0,10.0,6424.203125,1108,4057.6171875
1759073670.4576912,14.5,10.0,6432.16015625,1133,4149.169921875
1759073670.9585688,12.4,10.0,6436.2109375,1155,4229.736328125
1759073671.4596791,15.5,10.0,6427.515625,1180,4321.2890625
1759073671.9606357,13.6,10.0,6437.62890625,1204,4409.1796875
1759073672.461625,14.5,10.0,6438.94140625,1228,4497.0703125
1759073672.9623914,12.4,10.0,6427.5625,1252,4584.9609375
1759073673.463246,11.9,10.0,6426.06640625,1276,4672.8515625
1759073673.9641697,13.7,10.0,6433.1328125,1301,4764.404296875
1759073674.465047,13.8,10.0,6427.73828125,1323,4844.970703125
1759073674.9655297,10.1,10.0,6422.359375,1349,4940.185546875
